OBJIDsic,LAT,LON,GeodAREA,taxCount,region_id,code,name,island,tdwg4,tdwg4_name,tdwg3,tdwg2,tdwg1,tdwg1_name,country_IS,country,completeness,completeness_judge,ref_id
"171",19.5980836236,-155.518374985,10457.2162114,"958","748",USA.HI.HAW,Hawai'i (Big Island),"1",HAW-HI,Hawaiian Is.,HAW,"63","6",Pacific,USA,United States of America (the),"3","2","56"
"198",32.7377358827,54.2001563318,1679310.40686,"35","900",IRN,Iran (Islamic Republic of),"0",IRN-OO,Iran,IRN,"34","3",Asia-Temperate,IRN,Iran (Islamic Republic of),"1","2","2328"
"202",-0.55929258786,-91.1843439533,4726.573482,"164","975",ECU.GAL.ISA,Isabela,"1",GAL-OO,GalΒ pagos,GAL,"83","8",Southern America,ECU,Ecuador,"3","2","52"
"211",-33.70984557,-79.8560274418,109.512821144,"5","1234",CHL.JNF,Juan Fernandez Islands,"1",JNF-OO,Juan FernΒ ndez Is.,JNF,"85","8",Southern America,CHL,Chile,"1","2","2385"
"213",21.6541437138,-160.541486522,0.74776611583,"12","750",USA.HI.KAR,Ka'ula Rock,"1",HAW-HI,Hawaiian Is.,HAW,"63","6",Pacific,USA,United States of America (the),"3","2","56"
"214",20.5476115268,-156.609340602,116.658525066,"144","749",USA.HI.KAH,Kaho'olawe,"1",HAW-HI,Hawaiian Is.,HAW,"63","6",Pacific,USA,United States of America (the),"3","2","56"
"220",46.7749225925,13.9267277365,9522.47912026,"179","915",AUT.CAR,KΓ�rnten,"0",AUT-AU,Austria,AUT,"11","1",Europe,AUT,Austria,"3","2","2376"
"222",22.058363066,-159.524241043,1442.95150339,"722","751",USA.HI.KAU,Kaua'i,"1",HAW-HI,Hawaiian Is.,HAW,"63","6",Pacific,USA,United States of America (the),"3","2","56"
"227",-29.3809352614,-177.987079871,34.4167316796,"151","901",NZL.KEI,Kermadec Islands,"1",KER-OO,Kermadec Is.,KER,"51","5",Australasia,NZL,New Zealand,"3","0","2400"
"778",30.9733163181,112.261267968,185933.990751,"294","269",CHN.42,Hubei,"0",CHC-HU,Hubei,CHC,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"779",27.6161309874,111.702277198,211019.227831,"296","270",CHN.43,Hunan,"0",CHS-HN,Hunan,CHS,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"780",23.3517470466,113.411891985,176103.829334,"548","271",CHN.44,Guangdong,"0",CHS-GD,Guangdong,CHS,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"781",23.8313620577,108.785483206,236481.946338,"430","272",CHN.45,Guangxi,"0",CHS-GX,Guangxi,CHS,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"801",-19.9956837945,-158.114431777,29.4757657489,"134","292",COK.AT,"Atiu, Cook Islands","1",COO-OO,Cook Is.,COO,"61","6",Pacific,COK,Cook Islands (the),"2","2","2419"
"802",-21.9281267223,-157.919429454,48.5408656075,"160","293",COK.MA,"Mangaia, Cook Islands","1",COO-OO,Cook Is.,COO,"61","6",Pacific,COK,Cook Islands (the),"2","2","2419"
"803",-20.1611701676,-157.341429319,20.4195036506,"154","294",COK.MAU,"Mauke, Cook Islands","1",COO-OO,Cook Is.,COO,"61","6",Pacific,COK,Cook Islands (the),"2","2","2419"
"804",-19.2688006005,-158.937152731,7.46602407972,"16","295",COK.ME,"Manuae, Cook Islands","1",COO-OO,Cook Is.,COO,"61","6",Pacific,COK,Cook Islands (the),"2","2","2419"
"805",-10.4199021621,-161.00126823,7.9795859838,"42","296",COK.MI,"Manihiki, Cook Islands","1",TOK-MA,Manihiki Is.,TOK,"60","6",Pacific,COK,Cook Islands (the),"2","2","2419"
"806",-19.8671266883,-157.702197566,24.6957382393,"105","297",COK.MIT,"Mitiaro, Cook Islands","1",COO-OO,Cook Is.,COO,"61","6",Pacific,COK,Cook Islands (the),"2","2","2419"
"807",-11.5605937154,-165.414581366,1.16153729708,"20","298",COK.NAS,"Nassau, Cook Islands","1",TOK-MA,Manihiki Is.,TOK,"60","6",Pacific,COK,Cook Islands (the),"2","2","2419"
"808",-18.0601270781,-163.15227335,2.12327294067,"29","299",COK.PAL,"Palmerston, Cook Islands","1",COO-OO,Cook Is.,COO,"61","6",Pacific,COK,Cook Islands (the),"2","2","2419"
"809",-8.98802355399,-157.980508606,17.6328949243,"40","300",COK.PEN,"Penrhyn, Cook Islands","1",TOK-MA,Manihiki Is.,TOK,"60","6",Pacific,COK,Cook Islands (the),"2","2","2419"
"810",-10.8838152019,-165.845369779,4.09425582597,"40","301",COK.PUK,"Pukapuka, Cook Islands","1",TOK-MA,Manihiki Is.,TOK,"60","6",Pacific,COK,Cook Islands (the),"2","2","2419"
"811",-21.2346232782,-159.777546117,69.107189475,"222","302",COK.RA,"Rarotonga, Cook Islands","1",COO-OO,Cook Is.,COO,"61","6",Pacific,COK,Cook Islands (the),"2","2","2419"
"232",28.3928209595,-178.293975017,0.85221067062,"40","752",USA.HI.KUR,Kure,"1",HAW-HI,Hawaiian Is.,HAW,"63","6",Pacific,USA,United States of America (the),"3","2","56"
"243",-21.121661534,55.5381806943,2642.07979318,"760","925",FRA.REU,Reunion,"1",REU-OO,Rβunion,REU,"29","2",Africa,REU,Rβunion,"3","2","2393"
"537",-14.172184028,-169.66373061,7.73429053857,"104","30",ASM.OFU,Ofu,"1",SAM-AS,American Samoa,SAM,"60","6",Pacific,ASM,American Samoa,"2","2","138"
"538",-14.178550932,-169.620375353,7.2701186902,"46","31",ASM.OLO,Olosega,"1",SAM-AS,American Samoa,SAM,"60","6",Pacific,ASM,American Samoa,"2","2","138"
"539",-11.0558763561,-171.078438558,3.71050343407,"38","32",ASM.SWA,Swains,"1",TOK-SW,Swains I.,TOK,"60","6",Pacific,ASM,American Samoa,"2","2","138"
"540",-14.2420445121,-169.468213637,59.6163391251,"154","33",ASM.TAU,Tau,"1",SAM-AS,American Samoa,SAM,"60","6",Pacific,ASM,American Samoa,"2","2","138"
"541",-14.3003342515,-170.717618208,142.877457238,"200","34",ASM.TUA,Tutuila,"1",SAM-AS,American Samoa,SAM,"60","6",Pacific,ASM,American Samoa,"2","2","138"
"542",-70.3882308535,-64.0412044558,85861.4766511,"2","35",ATA,Antarctica,"0",ANT-OO,Antarctica,ANT,"91","9",Antarctic,ATA,Antarctica,"3","2","44"
"545",-28.6733105226,113.830992672,0.15559242138,"15","38",AUS.AI,"Alexander Island (Australia, not Antarctica)","1",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"2","2","84"
"547",-28.4753642101,113.785944494,0.06916290987,"14","40",AUS.BI,Beacon Island,"1",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"1","2","84"
"548",-19.014715449,152.124754183,3.95083533286,"5","41",AUS.CSIT,Coral Sea Islands Territory,"1",QLD-CS,Coral Sea Is. Territory,QLD,"50","5",Australasia,AUS,Australia,"2","2","123"
"549",-28.4366510864,113.728120199,3.31783197105,"27","42",AUS.EWI,East Wallabi Island,"1",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"2","2","84"
"550",-28.6674558307,113.828145415,0.0444972052,"5","43",AUS.GI,Gilbert Island,"1",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"2","2","84"
"551",-28.8865725253,113.859678278,0.23889188596,"11","44",AUS.GUI,Gun Island,"1",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"2","2","84"
"552",-28.6737718422,113.852452017,0.06053859202,"51","45",AUS.HI,Helms Island,"1",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"2","2","84"
"553",-28.8007608702,114.03977213,0.33588399824,"1","46",AUS.HUI,Hummock Island,"1",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"2","2","84"
"554",-28.6888147393,113.862786793,0.1782911258,"10","47",AUS.LEI,Leo Island,"1",WAU-WA,Western Australia,WAU,"50","5",Australasia,AUS,Australia,"1","2","84"
"782",19.2005045674,109.74159077,33998.7685495,"315","273",CHN.46,Hainan,"1",CHH-OO,Hainan,CHH,"36","3",Asia-Temperate,CHN,China,"2","2","2408"
"783",30.072171478,107.876089303,81807.5702046,"108","274",CHN.50,Chongqing,"0",CHC-CQ,Chongqing,CHC,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"784",30.511498783,103.481974233,562857.509709,"374","275",CHN.51,Sichuan,"0",CHC-SC,Sichuan,CHC,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"785",26.8088050278,106.871180158,175981.130917,"342","276",CHN.52,Guizhou,"0",CHC-GZ,Guizhou,CHC,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"786",24.9767257664,101.487418014,383166.869157,"580","277",CHN.53,Yunnan,"0",CHC-YN,Yunnan,CHC,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"787",44.0625552714,113.856252045,1150969.24249,"200","278",CHN.55,Nei Mongol,"0",CHI-NM,Nei Mongol,CHI,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"788",35.157690735,108.861296379,203508.672478,"242","279",CHN.61,Shaanxi,"0",CHN-SA,Shaanxi,CHN,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"789",37.7373652778,101.222971424,380492.256678,"211","280",CHN.62,Gansu,"0",CHN-GS,Gansu,CHN,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"790",35.7733596777,96.0468299172,734170.01465,"163","281",CHN.63,Qinghai,"0",CHQ-OO,Qinghai,CHQ,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"791",37.2733119834,106.153743861,51931.7426219,"142","282",CHN.64,Ningxia Hui,"0",CHI-NX,Ningxia,CHI,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"792",22.4109947506,114.178725437,1011.4078464,"247","283",CHN.91,Hongkong,"0",CHS-HK,Hong Kong,CHS,"36","3",Asia-Temperate,HKG,Hong Kong,"1","2","2333"
"793",22.1984975143,113.545744678,8.71512212737,"118","284",CHN.92,Macau,"0",CHS-MA,Macau,CHS,"36","3",Asia-Temperate,MAC,Macao,"1","2","2333"
"794",41.1231764368,85.2510203132,1631798.97157,"221","285",CHN.SIN,Xinjiang Uygur,"0",CHX-OO,Xinjiang,CHX,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"795",31.7120921621,88.118532367,1133869.6318,"210","286",CHN.TIB,Xizang,"0",CHT-OO,Tibet,CHT,"36","3",Asia-Temperate,CHN,China,"1","2","2333"
"796",7.63130984478,-5.56410959172,319718.587334,"306","287",CIV,Cote d'Ivoire,"0",IVO-OO,Ivory Coast,IVO,"22","2",Africa,CIV,Cβte d'Ivoire,"1","2","139"
"797",5.69117031525,12.7552596752,464396.488443,"362","288",CMR,Cameroon,"0",CMN-OO,Cameroon,CMN,"23","2",Africa,CMR,Cameroon,"2","2","139"
"798",-2.87813552553,23.6542243547,2326430.62005,"681","289",COD,Democratic Republic of the Congo,"0",ZAI-OO,Zaire,ZAI,"23","2",Africa,COD,Congo (the Democratic Republic of the),"2","2","139"
"799",-0.83168788884,15.2272297376,343925.158394,"67","290",COG,Congo,"0",CON-OO,Congo,CON,"23","2",Africa,COG,Congo (the),"1","2","139"
"800",-18.8668385902,-159.776500355,20.4275724387,"98","291",COK.AI,"Aitutaki, Cook Islands","1",COO-OO,Cook Is.,COO,"61","6",Pacific,COK,Cook Islands (the),"2","2","2419"
"1100",-10.4716346956,-138.639836424,95.2878353514,"214","562",PYF.MI.FHI,"Fatu Hiva, French Polynesia (Marquesas Islands)","1",MRQ-OO,Marquesas,MRQ,"61","6",Pacific,PYF,French Polynesia,"2","2","2375"
"1101",-9.43680734675,-138.926493737,0.59343086645,"7","563",PYF.MI.FHU,"Fatu Huku, French Polynesia (Marquesas Islands)","1",MRQ-OO,Marquesas,MRQ,"61","6",Pacific,PYF,French Polynesia,"2","2","2375"
"1102",-7.91764125559,-140.569691248,8.41008100743,"27","564",PYF.MI.HA,"Hatutaa, French Polynesia (Marquesas Islands)","1",MRQ-OO,Marquesas,MRQ,"61","6",Pacific,PYF,French Polynesia,"2","2","2375"
"1103",-9.77477747876,-139.013921903,319.393502395,"281","565",PYF.MI.HO,"Hiva Oa, French Polynesia (Marquesas Islands)","1",MRQ-OO,Marquesas,MRQ,"61","6",Pacific,PYF,French Polynesia,"2","2","2375"
"1104",-9.98529150538,-138.829614855,20.1036483149,"45","566",PYF.MI.MO,"Mohotani, French Polynesia (Marquesas Islands)","1",MRQ-OO,Marquesas,MRQ,"61","6",Pacific,PYF,French Polynesia,"2","2","2375"
"1105",-8.86623902754,-140.139322512,346.61942925,"299","567",PYF.MI.NH,"Nuku Hiva, French Polynesia (Marquesas Islands)","1",MRQ-OO,Marquesas,MRQ,"61","6",Pacific,PYF,French Polynesia,"2","2","2375"
"1106",-9.94498826259,-139.088563738,71.9068031273,"135","568",PYF.MI.TA,"Tahuata, French Polynesia (Marquesas Islands)","1",MRQ-OO,Marquesas,MRQ,"61","6",Pacific,PYF,French Polynesia,"2","2","2375"
"1107",-8.90932310343,-139.551963724,91.6311399955,"203","569",PYF.MI.UH,"Ua Huka, French Polynesia (Marquesas Islands)","1",MRQ-OO,Marquesas,MRQ,"61","6",Pacific,PYF,French Polynesia,"2","2","2375"
"1108",-9.3978570695,-140.073941947,108.789259183,"183","570",PYF.MI.UP,"Ua Pou, French Polynesia (Marquesas Islands)","1",MRQ-OO,Marquesas,MRQ,"61","6",Pacific,PYF,French Polynesia,"2","2","2375"
"1109",-23.927746037,-130.740043384,2.90403044171,"2","571",PYF.OE,"Oeno, French Polynesia","1",PIT-OO,Pitcairn Is.,PIT,"61","6",Pacific,PCN,Pitcairn,"1","2","40"
"1132",-15.8436630697,-148.255586332,30.7521367089,"56","594",PYF.TA.MAK,"Makatea, French Polynesia (Tuamotu Archipelago)","1",TUA-OO,Tuamotu,TUA,"61","6",Pacific,PYF,French Polynesia,"2","2","40"
"1133",-14.3980841865,-145.949288026,24.7941548646,"3","595",PYF.TA.MAN,"Manihi, French Polynesia (Tuamotu Archipelago)","1",TUA-OO,Tuamotu,TUA,"61","6",Pacific,PYF,French Polynesia,"1","2","40"
"1134",-21.4739118876,-136.396177886,8.49539098905,"1","596",PYF.TA.MAO,"Matureivavao, French Polynesia (Tuamotu Archipelago)","1",TUA-OO,Tuamotu,TUA,"61","6",Pacific,PYF,French Polynesia,"1","2","40"
"1135",-21.8494026582,-138.891970986,21.2965648557,"2","597",PYF.TA.MOR,"Moruroa, French Polynesia (Tuamotu Archipelago)","1",TUA-OO,Tuamotu,TUA,"61","6",Pacific,PYF,French Polynesia,"1","2","40"
"1138",-16.1583345942,-146.348840964,25.3566396043,"17","600",PYF.TA.NIA,"Niau, French Polynesia (Tuamotu Archipelago)","1",TUA-OO,Tuamotu,TUA,"61","6",Pacific,PYF,French Polynesia,"1","2","40"
"1139",-15.1436604725,-147.570159127,98.7693782731,"9","601",PYF.TA.RAN,"Rangiroa, French Polynesia (Tuamotu Archipelago)","1",TUA-OO,Tuamotu,TUA,"61","6",Pacific,PYF,French Polynesia,"1","2","40"
"1140",-15.741945926,-144.631571948,6.14400086068,"1","603",PYF.TA.TAI,"Taiaro, French Polynesia (Tuamotu Archipelago)","1",TUA-OO,Tuamotu,TUA,"61","6",Pacific,PYF,French Polynesia,"1","2","40"
"247",20.8349945464,-156.927065885,366.604163668,"403","753",USA.HI.LAE,LΓ�na'i,"1",HAW-HI,Hawaiian Is.,HAW,"63","6",Pacific,USA,United States of America (the),"3","2","56"
"249",25.7686890239,-171.734887774,2.92094893033,"12","754",USA.HI.LAY,Laysan,"1",HAW-HI,Hawaiian Is.,HAW,"63","6",Pacific,USA,United States of America (the),"3","2","56"
"251",22.0201003056,-160.095764674,1.28218787021,"40","755",USA.HI.LEH,Lehua,"1",HAW-HI,Hawaiian Is.,HAW,"63","6",Pacific,USA,United States of America (the),"3","2","56"
"254",-34.4432912063,-71.0480257528,15857.7792917,"5","1225",CHL.RLI,"RegiΓ³n del Libertador General Bernardo O'Higgins, Chile","0",CLC-OH,O'Higgins,CLC,"85","8",Southern America,CHL,Chile,"1","2","2385"
"258",26.0639531499,-173.965922309,1.59354471908,"3","756",USA.HI.LIS,Lisianski,"1",HAW-HI,Hawaiian Is.,HAW,"63","6",Pacific,USA,United States of America (the),"3","2","56"
"261",-41.3205439501,-72.871548169,60912.8375617,"9","1229",CHL.RLL,"RegiΓ³n de Los Lagos, Chile","0",CLS-LL,Los Lagos,CLS,"85","8",Southern America,CHL,Chile,"1","2","2385"
"264",62.7093974813,153.985854068,463345.760796,"231","639",RUS.MAG,Magadan region,"0",MAG-OO,Magadan,MAG,"31","3",Asia-Temperate,RUS,Russian Federation (the),"2","2","79"
"265",-52.6007905696,-71.6985610155,102367.748986,"7","1231",CHL.RMG,"RegiΓ³n de Magallanes y de la AntΓ‘rtica Chilena, Chile","0",CLS-MG,Magellanes,CLS,"85","8",Southern America,CHL,Chile,"1","2","2385"
"277",20.7904146321,-156.336777025,1894.10590315,"918","757",USA.HI.MAU,Maui,"1",HAW-HI,Hawaiian Is.,HAW,"63","6",Pacific,USA,United States of America (the),"3","2","56"
"278",-35.5761517328,-71.4165191586,29065.7122772,"7","1226",CHL.RMU,"RegiΓ³n del Maule, Chile","0",CLC-MA,Maule,CLC,"85","8",Southern America,CHL,Chile,"1","2","2385"
"286",28.2080499329,-177.367191123,6.43351937511,"124","758",USA.HI.MID,Midway,"1",HAW-HI,Hawaiian Is.,HAW,"63","6",Pacific,USA,United States of America (the),"3","2","56"
"288",21.1331726782,-157.014517575,680.421601482,"522","759",USA.HI.MOL,Moloka'i,"1",HAW-HI,Hawaiian Is.,HAW,"63","6",Pacific,USA,United States of America (the),"3","2","56"
"290",46.8279817639,103.075262432,1561385.77563,"26","902",MNG,Mongolia,"0",MON-OO,Mongolia,MON,"37","3",Asia-Temperate,MNG,Mongolia,"1","2","2380"
"307",21.8966425852,-160.151830603,197.312532182,"99","761",USA.HI.NII,Ni'ihau,"1",HAW-HI,Hawaiian Is.,HAW,"63","6",Pacific,USA,United States of America (the),"3","2","56"
"308",48.276969156,15.7493228995,19101.3390839,"211","912",AUT.LOW,NiederΓΆsterreich,"0",AUT-AU,Austria,AUT,"11","1",Europe,AUT,Austria,"3","2","2376"
"309",23.0604558943,-161.922525282,0.65231128283,"6","760",USA.HI.NIH,Nihoa,"1",HAW-HI,Hawaiian Is.,HAW,"63","6",Pacific,USA,United States of America (the),"3","2","56"
"320",-32.987930983,148.618957975,80467.6701049,"694","57",AUS.NSW.CWS,Central Western Slopes,"0",NSW-NS,New South Wales,NSW,"50","5",Australasia,AUS,Australia,"3","2","2411"
"321",21.4586744323,-157.973392913,1560.18447198,"1012","762",USA.HI.OAH,O'ahu,"1",HAW-HI,Hawaiian Is.,HAW,"63","6",Pacific,USA,United States of America (the),"3","2","56"
"323",48.1469222214,13.9695317807,12067.6593256,"188","913",AUT.UPP,OberΓΆsterreich,"0",AUT-AU,Austria,AUT,"11","1",Europe,AUT,Austria,"3","2","2376"
"329",20.615533265,56.1153939454,309610.343851,"47","528",OMN,Oman,"0",OMA-OO,Oman,OMA,"35","3",Asia-Temperate,OMN,Oman,"2","2","2338"
"353",-6.46720713245,145.179718819,456691.858375,"125","921",PNG,Papua New Guinea,"1",000-34,Papua New Guinea,"29","43","4",Asia-Tropical,PNG,Papua New Guinea,"2","2","2360"
"354",-23.2341752743,-58.3894953233,400345.583136,"176","919",PRY,Paraguay,"0",PAR-OO,Paraguay,PAR,"85","8",Southern America,PRY,Paraguay,"2","2","2330"
"356",27.8227755735,-175.798245491,0.29384643614,"10","763",USA.HI.PEH,Pearl & Hermes,"1",HAW-HI,Hawaiian Is.,HAW,"63","6",Pacific,USA,United States of America (the),"3","2","56"
"359",38.4694729615,-28.3335729551,444.974158068,"702","989",PRT.AZO.PIC,Pico,"1",AZO-OO,Aβ‘βres,AZO,"21","2",Africa,PRT,Portugal,"3","2","2388"
"361",0.58684476502,-90.7570247691,60.3307837305,"8","977",ECU.GAL.PNT,Pinta,"1",GAL-OO,GalΒ pagos,GAL,"83","8",Southern America,ECU,Ecuador,"3","2","52"
"362",-0.61081051893,-90.6657908732,18.0691753134,"3","978",ECU.GAL.PNZ,PinzΓ³n,"1",GAL-OO,GalΒ pagos,GAL,"83","8",Southern America,ECU,Ecuador,"3","2","52"
"373",-19.7163243523,63.4234673494,98.146524732,"289","1233",MUS.RO,Rodrigues (Mauritius),"1",ROD-OO,Rodrigues,ROD,"29","2",Africa,MUS,Mauritius,"3","2","2393"
"382",47.3866882268,13.0910958706,7135.10874552,"157","916",AUT.SAL,Salzburg,"0",AUT-AU,Austria,AUT,"11","1",Europe,AUT,Austria,"3","2","2376"
"386",-0.8267980169,-89.4305601114,559.977663651,"196","979",ECU.GAL.CRI,San CristΓ³bal,"1",GAL-OO,GalΒ pagos,GAL,"83","8",Southern America,ECU,Ecuador,"3","2","52"
"396",-0.62724753263,-90.3584055979,987.094157507,"228","980",ECU.GAL.CRU,Santa Cruz,"1",GAL-OO,GalΒ pagos,GAL,"83","8",Southern America,ECU,Ecuador,"1","2","2385"
"397",-0.8184286674,-90.0587735666,25.1516016879,"1","981",ECU.GAL.SFE,Santa FΓ©,"1",GAL-OO,GalΒ pagos,GAL,"83","8",Southern America,ECU,Ecuador,"3","2","52"
"399",36.9713337021,-25.0998229246,96.8918334048,"865","984",PRT.AZO.MAR,Santa Maria,"1",AZO-OO,Aβ‘βres,AZO,"21","2",Africa,PRT,Portugal,"3","2","2388"
"401",-33.6112447808,-70.6438395192,15824.3582004,"9","1232",CHL.RSA,"RegiΓ³n Metropolitana de Santiago, Chile","0",CLC-SA,Santiago,CLC,"85","8",Southern America,CHL,Chile,"1","2","2385"
"403",-0.26624540728,-90.7125462493,577.099751153,"40","982",ECU.GAL.SAN,Santiago,"1",GAL-OO,GalΒ pagos,GAL,"83","8",Southern America,ECU,Ecuador,"3","2","52"
"405",38.637234313,-28.0292361553,243.780704561,"614","988",PRT.AZO.JOR,SΓ£o Jorge,"1",AZO-OO,Aβ‘βres,AZO,"21","2",Africa,PRT,Portugal,"3","2","2388"
"406",37.7954000209,-25.4818912421,744.721488156,"915","985",PRT.AZO.MIG,SΓ£o Miguel,"1",AZO-OO,Aβ‘βres,AZO,"21","2",Africa,PRT,Portugal,"3","2","2388"
